scenario,scenario_label,round,estimate,ci_low,ci_high,n,bootstrap_repetitions,bootstrap_design
strong_premium_penalty,Strong premium-penalty,1,0.0,0.0,0.0,500,5000,crossed three-factor product-weight
strong_premium_penalty,Strong premium-penalty,2,0.00591837761074719,0.004839411349120644,0.007109227775548586,500,5000,crossed three-factor product-weight
strong_premium_penalty,Strong premium-penalty,3,0.011431663476632294,0.00969221659384175,0.01337582921757142,500,5000,crossed three-factor product-weight
strong_premium_penalty,Strong premium-penalty,4,0.017143845860499062,0.014393218211823617,0.020172515780268227,500,5000,crossed three-factor product-weight
strong_premium_penalty,Strong premium-penalty,5,0.02287696110851531,0.019102675583609383,0.0269029573560643,500,5000,crossed three-factor product-weight
strong_premium_penalty,Strong premium-penalty,6,0.02886565187408185,0.024180225529071484,0.033760154973760004,500,5000,crossed three-factor product-weight
moderate_asymmetric,Moderate asymmetry,1,0.0,0.0,0.0,500,5000,crossed three-factor product-weight
moderate_asymmetric,Moderate asymmetry,2,0.0031250910104750522,0.002352612042564428,0.003992678109502534,500,5000,crossed three-factor product-weight
moderate_asymmetric,Moderate asymmetry,3,0.005875941785188435,0.004427500569051338,0.007342580416959765,500,5000,crossed three-factor product-weight
moderate_asymmetric,Moderate asymmetry,4,0.008917574399066137,0.006777955118662003,0.010986621621276386,500,5000,crossed three-factor product-weight
moderate_asymmetric,Moderate asymmetry,5,0.011986308748202033,0.00921974718864095,0.014731087965983438,500,5000,crossed three-factor product-weight
moderate_asymmetric,Moderate asymmetry,6,0.014933671409202657,0.011693521293932939,0.018171357794547212,500,5000,crossed three-factor product-weight
mild_aversion,Mild aversion,1,0.0,0.0,0.0,500,5000,crossed three-factor product-weight
mild_aversion,Mild aversion,2,0.0008555207882457623,0.00044379772096829397,0.0013139357699225517,500,5000,crossed three-factor product-weight
mild_aversion,Mild aversion,3,0.0015867469415620625,0.0008129073545352566,0.002433285345728764,500,5000,crossed three-factor product-weight
mild_aversion,Mild aversion,4,0.002643703004269552,0.001530008253690958,0.003846389537564005,500,5000,crossed three-factor product-weight
mild_aversion,Mild aversion,5,0.0034415122386870843,0.0019226914361251443,0.005079882130348051,500,5000,crossed three-factor product-weight
mild_aversion,Mild aversion,6,0.004359900916419541,0.0023109614841420345,0.00656206641917137,500,5000,crossed three-factor product-weight
heterogeneous_response,Heterogeneous response,1,0.0,0.0,0.0,500,5000,crossed three-factor product-weight
heterogeneous_response,Heterogeneous response,2,0.0004673611449459776,-5.169409390283133e-05,0.0009943550212425038,500,5000,crossed three-factor product-weight
heterogeneous_response,Heterogeneous response,3,0.0010362856730089013,0.00027709367325305905,0.0018600907845745295,500,5000,crossed three-factor product-weight
heterogeneous_response,Heterogeneous response,4,0.0016858261513052898,0.0004471055092870554,0.002967375071610748,500,5000,crossed three-factor product-weight
heterogeneous_response,Heterogeneous response,5,0.00254308812613559,0.0008735179008707834,0.004127884052214911,500,5000,crossed three-factor product-weight
heterogeneous_response,Heterogeneous response,6,0.0035566746239316647,0.0014931996172267462,0.005405502140435928,500,5000,crossed three-factor product-weight
ai_appreciation,AI appreciation,1,0.0,0.0,0.0,500,5000,crossed three-factor product-weight
ai_appreciation,AI appreciation,2,-0.0016076471776957644,-0.002256794064105083,-0.0010040566615185365,500,5000,crossed three-factor product-weight
ai_appreciation,AI appreciation,3,-0.003119738702186263,-0.004103493280127752,-0.0021930602091235494,500,5000,crossed three-factor product-weight
ai_appreciation,AI appreciation,4,-0.004527768369559582,-0.0060183301465290325,-0.0030682344323800376,500,5000,crossed three-factor product-weight
ai_appreciation,AI appreciation,5,-0.005843953091554421,-0.007786163147720449,-0.004016053623511209,500,5000,crossed three-factor product-weight
ai_appreciation,AI appreciation,6,-0.006883054134401714,-0.009238122838840504,-0.004592730485261165,500,5000,crossed three-factor product-weight
