horizon,scenario,estimate,ci_low,ci_high,n
6,ai_appreciation,0.004140128740725432,-0.003093670568049391,0.0113563535899302,50
6,moderate_asymmetric,-0.006922251545775748,-0.016330231581863835,0.0020746809565249363,50
6,strong_premium_penalty,-0.008953177714256,-0.018412512154045435,0.0003861927005670653,50
6,zero,0.0,0.0,0.0,50
12,ai_appreciation,0.005635579988184376,-0.00828272071026787,0.02309096073824147,50
12,moderate_asymmetric,-0.011960044406893628,-0.03133715567823763,0.008533483234787519,50
12,strong_premium_penalty,-0.02408451359561377,-0.04494274230145763,-0.002135381093267006,50
12,zero,0.0,0.0,0.0,50
24,ai_appreciation,0.010787566787037526,-0.011221197846062706,0.033481423799854367,50
24,moderate_asymmetric,-0.016713713612603508,-0.05350847904571494,0.01923500371766797,50
24,strong_premium_penalty,-0.046739765929143445,-0.07038425448462589,-0.023559615592027797,50
24,zero,0.0,0.0,0.0,50
