online_steps,scenario,estimate,ci_low,ci_high,n
1,ai_appreciation,-0.0022435369349865,-0.0050574248425288,0.0014918461515306,50
1,moderate_asymmetric,0.0046201889628362,0.0016764014591103,0.0076555710829271,50
1,strong_premium_penalty,0.0101758553614972,0.0050923831778781,0.0146437083803247,50
1,zero,0.0,0.0,0.0,50
3,ai_appreciation,-0.0086577571106287,-0.014727421182331,-0.0033323350370157,50
3,moderate_asymmetric,0.0157783790996268,0.0095785623476828,0.0210199634024004,50
3,strong_premium_penalty,0.0336023375680382,0.0231432600578326,0.0437495608919579,50
3,zero,0.0,0.0,0.0,50
10,ai_appreciation,-0.0339594140435251,-0.0528713169337965,-0.0173865739030371,50
10,moderate_asymmetric,0.047874196032722,0.0261051482990488,0.0739796617265382,50
10,strong_premium_penalty,0.0843317341694402,0.0604204718968968,0.1092295882259695,50
10,zero,0.0,0.0,0.0,50
