target_initial_acceptance,outside_utility,scenario,metric,estimate,ci_low,ci_high,actual_acceptance_rate,mean_cumulative_acceptances
0.1,6.526023986424852,ai_appreciation,LMC,-0.0008171026653879,-0.0032533626487305,0.00144185284103,0.1010399999999999,90.936
0.1,6.526023986424852,moderate_asymmetric,LMC,0.0005959543942311,-0.0019698423258309,0.0024517045210959,0.0921999999999999,82.98
0.1,6.526023986424852,strong_premium_penalty,LMC,0.0022711228016771,0.0003098212835654,0.0039641427583878,0.0946133333333333,85.152
0.1,6.526023986424852,zero,zero_branch_difference,0.0008191179075054,-0.0016344423295787,0.0038578922503312,0.0960222222222222,86.42
0.2,5.713364208471231,ai_appreciation,LMC,-0.0014420788758336,-0.0034893508371328,0.0006115259170403,0.2013555555555555,181.22
0.2,5.713364208471231,moderate_asymmetric,LMC,0.0026249651250639,6.233175471705385e-05,0.0055380935329959,0.1872622222222222,168.536
0.2,5.713364208471231,strong_premium_penalty,LMC,0.0052717013928553,0.0025142609011414,0.0079572667988984,0.1912488888888888,172.124
0.2,5.713364208471231,zero,zero_branch_difference,0.0009413282565654,-0.0030337663107258,0.0042620187989039,0.1941777777777777,174.76
0.4,4.729528196444637,ai_appreciation,LMC,-0.002625262487801,-0.0069315446895859,0.0016186269650922,0.4085466666666666,367.692
0.4,4.729528196444637,moderate_asymmetric,LMC,0.0067113760326625,0.0028708028411362,0.0108941016979801,0.3844977777777777,346.048
0.4,4.729528196444637,strong_premium_penalty,LMC,0.0114719915852044,0.0072831877043915,0.016023025284839,0.3912533333333333,352.128
0.4,4.729528196444637,zero,zero_branch_difference,0.0006829048155582,-0.0050671935836678,0.0060411742915485,0.3962222222222222,356.6
